from_country_iso3,to_country_iso3,year,n_migrations,n_migrations_back,netmigrations,decade,corridor,flow_direction,flow_size_category
AUS,AUT,2013,26,58,-32,2010s,AUS-AUT,Net flow back to origin,Very Large
ZAF,CHN,2013,6,6,0,2010s,ZAF-CHN,Balanced,Large
OMN,QAT,2015,2,2,0,2010s,OMN-QAT,Balanced,Medium
BEL,AUT,2016,19,8,11,2010s,BEL-AUT,Net flow to destination,Very Large
AUT,POL,2018,11,7,4,2010s,AUT-POL,Net flow to destination,Very Large
BRA,ISR,2013,1,2,-1,2010s,BRA-ISR,Net flow back to origin,Small
THA,SWE,2012,4,7,-3,2010s,THA-SWE,Net flow back to origin,Large
TUR,CYP,2013,50,23,27,2010s,TUR-CYP,Net flow to destination,Very Large
LTU,SWE,2013,5,5,0,2010s,LTU-SWE,Balanced,Large
CZE,ITA,2014,6,17,-11,2010s,CZE-ITA,Net flow back to origin,Large
VNM,KOR,2014,18,52,-34,2010s,VNM-KOR,Net flow back to origin,Very Large
NOR,ITA,2014,11,18,-7,2010s,NOR-ITA,Net flow back to origin,Very Large
ZAF,BGR,2019,1,1,0,2010s,ZAF-BGR,Balanced,Small
USA,PAN,2008,20,16,4,2000s,USA-PAN,Net flow to destination,Very Large
PHL,AUS,2013,8,11,-3,2010s,PHL-AUS,Net flow back to origin,Large
VEN,COL,2010,17,2,15,2010s,VEN-COL,Net flow to destination,Very Large
MKD,SRB,2007,25,20,5,2000s,MKD-SRB,Net flow to destination,Very Large
CYP,GRC,2019,26,60,-34,2010s,CYP-GRC,Net flow back to origin,Very Large
NZL,CZE,2018,2,1,1,2010s,NZL-CZE,Net flow to destination,Medium
BGR,ESP,2018,2,2,0,2010s,BGR-ESP,Balanced,Medium
AFG,JPN,2019,3,6,-3,2010s,AFG-JPN,Net flow back to origin,Medium
SRB,SVN,2021,8,3,5,2020s,SRB-SVN,Net flow to destination,Large
MAR,PRT,2017,2,2,0,2010s,MAR-PRT,Balanced,Medium
IND,CHN,2006,20,5,15,2000s,IND-CHN,Net flow to destination,Very Large
DEU,HUN,2011,30,49,-19,2010s,DEU-HUN,Net flow back to origin,Very Large
SWE,KEN,2016,6,3,3,2010s,SWE-KEN,Net flow to destination,Large
TUR,QAT,2019,5,4,1,2010s,TUR-QAT,Net flow to destination,Large
GIN,CHE,2015,1,1,0,2010s,GIN-CHE,Balanced,Small
SGP,DNK,2021,6,2,4,2020s,SGP-DNK,Net flow to destination,Large
CAN,COL,2018,14,19,-5,2010s,CAN-COL,Net flow back to origin,Very Large
SAU,MYS,2018,31,87,-56,2010s,SAU-MYS,Net flow back to origin,Very Large
SAU,DZA,2014,2,3,-1,2010s,SAU-DZA,Net flow back to origin,Medium
SAU,RUS,2018,2,3,-1,2010s,SAU-RUS,Net flow back to origin,Medium
IRN,ZAF,2013,8,1,7,2010s,IRN-ZAF,Net flow to destination,Large
ZAF,IRN,2020,4,11,-7,2020s,ZAF-IRN,Net flow back to origin,Large
TWN,RUS,2015,2,1,1,2010s,TWN-RUS,Net flow to destination,Medium
RUS,KAZ,2013,30,9,21,2010s,RUS-KAZ,Net flow to destination,Very Large
ARE,DEU,2023,3,8,-5,2020s,ARE-DEU,Net flow back to origin,Medium
MDA,RUS,2014,4,4,0,2010s,MDA-RUS,Balanced,Large
ZAF,SWE,2014,8,12,-4,2010s,ZAF-SWE,Net flow back to origin,Large
RUS,HKG,2018,5,1,4,2010s,RUS-HKG,Net flow to destination,Large
HUN,AUT,2006,12,8,4,2000s,HUN-AUT,Net flow to destination,Very Large
SGP,SWE,2014,6,11,-5,2010s,SGP-SWE,Net flow back to origin,Large
DEU,TUR,2021,42,129,-87,2020s,DEU-TUR,Net flow back to origin,Very Large
PRT,CPV,2023,2,1,1,2020s,PRT-CPV,Net flow to destination,Medium
EGY,QAT,2008,1,1,0,2000s,EGY-QAT,Balanced,Small
NOR,HKG,2020,4,2,2,2020s,NOR-HKG,Net flow to destination,Large
ARM,USA,2018,9,9,0,2010s,ARM-USA,Balanced,Large
ESP,ISL,2020,3,1,2,2020s,ESP-ISL,Net flow to destination,Medium
KAZ,TUR,2018,11,5,6,2010s,KAZ-TUR,Net flow to destination,Very Large
MNG,JPN,2021,3,20,-17,2020s,MNG-JPN,Net flow back to origin,Medium
IND,HKG,2020,17,12,5,2020s,IND-HKG,Net flow to destination,Very Large
IRN,JPN,2014,10,13,-3,2010s,IRN-JPN,Net flow back to origin,Large
EST,NOR,2021,3,6,-3,2020s,EST-NOR,Net flow back to origin,Medium
CHE,TUR,2010,27,12,15,2010s,CHE-TUR,Net flow to destination,Very Large
CRI,COL,2018,4,1,3,2010s,CRI-COL,Net flow to destination,Large
NGA,BWA,2021,3,2,1,2020s,NGA-BWA,Net flow to destination,Medium
FJI,AUS,2023,3,6,-3,2020s,FJI-AUS,Net flow back to origin,Medium
NZL,AUT,2017,5,4,1,2010s,NZL-AUT,Net flow to destination,Large
SVN,RUS,2016,3,2,1,2010s,SVN-RUS,Net flow to destination,Medium
PHL,CAN,2018,5,5,0,2010s,PHL-CAN,Balanced,Large
BRN,JPN,2020,3,1,2,2020s,BRN-JPN,Net flow to destination,Medium
BEL,HRV,2017,4,4,0,2010s,BEL-HRV,Balanced,Large
ETH,NLD,2021,6,12,-6,2020s,ETH-NLD,Net flow back to origin,Large
BRA,POL,2023,9,8,1,2020s,BRA-POL,Net flow to destination,Large
AUT,TWN,2023,2,2,0,2020s,AUT-TWN,Balanced,Medium
ESP,JPN,2013,14,19,-5,2010s,ESP-JPN,Net flow back to origin,Very Large
BEL,ESP,2013,38,67,-29,2010s,BEL-ESP,Net flow back to origin,Very Large
USA,TZA,2019,20,24,-4,2010s,USA-TZA,Net flow back to origin,Very Large
GBR,SEN,2019,2,1,1,2010s,GBR-SEN,Net flow to destination,Medium
SRB,MNE,2016,15,8,7,2010s,SRB-MNE,Net flow to destination,Very Large
IRL,AUT,2017,4,2,2,2010s,IRL-AUT,Net flow to destination,Large
USA,HRV,2022,11,10,1,2020s,USA-HRV,Net flow to destination,Very Large
ZAF,SDN,2020,6,5,1,2020s,ZAF-SDN,Net flow to destination,Large
SWE,TZA,2023,5,7,-2,2020s,SWE-TZA,Net flow back to origin,Large
PRT,CHN,2009,9,9,0,2000s,PRT-CHN,Balanced,Large
DNK,ROU,2011,3,3,0,2010s,DNK-ROU,Balanced,Medium
FRA,DJI,2016,4,1,3,2010s,FRA-DJI,Net flow to destination,Large
IRN,NOR,2020,32,4,28,2020s,IRN-NOR,Net flow to destination,Very Large
IRL,AUS,2021,35,40,-5,2020s,IRL-AUS,Net flow back to origin,Very Large
CZE,FRA,2018,23,29,-6,2010s,CZE-FRA,Net flow back to origin,Very Large
PRT,IRN,2020,8,18,-10,2020s,PRT-IRN,Net flow back to origin,Large
GHA,AUS,2021,17,16,1,2020s,GHA-AUS,Net flow to destination,Very Large
MYS,CAN,2018,34,12,22,2010s,MYS-CAN,Net flow to destination,Very Large
POL,ESP,2013,12,19,-7,2010s,POL-ESP,Net flow back to origin,Very Large
ISR,ZAF,2013,3,1,2,2010s,ISR-ZAF,Net flow to destination,Medium
SRB,GRC,2019,3,4,-1,2010s,SRB-GRC,Net flow back to origin,Medium
SAU,GBR,2011,16,86,-70,2010s,SAU-GBR,Net flow back to origin,Very Large
PER,KEN,2020,5,1,4,2020s,PER-KEN,Net flow to destination,Large
NGA,SAU,2020,7,4,3,2020s,NGA-SAU,Net flow to destination,Large
MWI,NOR,2019,1,3,-2,2010s,MWI-NOR,Net flow back to origin,Small
CZE,RUS,2020,7,21,-14,2020s,CZE-RUS,Net flow back to origin,Large
PAK,IRN,2021,1,2,-1,2020s,PAK-IRN,Net flow back to origin,Small
QAT,CAN,2020,14,17,-3,2020s,QAT-CAN,Net flow back to origin,Very Large
IND,SVK,2022,5,2,3,2020s,IND-SVK,Net flow to destination,Large
ESP,TUR,2019,14,11,3,2010s,ESP-TUR,Net flow to destination,Very Large
MYS,NOR,2020,4,2,2,2020s,MYS-NOR,Net flow to destination,Large
VNM,MYS,2019,3,9,-6,2010s,VNM-MYS,Net flow back to origin,Medium
MAR,FIN,2022,5,2,3,2020s,MAR-FIN,Net flow to destination,Large
KEN,IND,2019,1,3,-2,2010s,KEN-IND,Net flow back to origin,Small
PAK,HKG,2020,11,10,1,2020s,PAK-HKG,Net flow to destination,Very Large
CZE,NLD,2009,3,4,-1,2000s,CZE-NLD,Net flow back to origin,Medium
NLD,CZE,2010,7,5,2,2010s,NLD-CZE,Net flow to destination,Large
CZE,NLD,2011,8,9,-1,2010s,CZE-NLD,Net flow back to origin,Large
SGP,IRN,2020,5,7,-2,2020s,SGP-IRN,Net flow back to origin,Large
ESP,BGD,2021,3,1,2,2020s,ESP-BGD,Net flow to destination,Medium
LKA,MYS,2020,4,6,-2,2020s,LKA-MYS,Net flow back to origin,Large
CZE,RUS,1999,6,17,-11,1990s,CZE-RUS,Net flow back to origin,Large
NOR,CAN,2011,9,15,-6,2010s,NOR-CAN,Net flow back to origin,Large
ESP,FIN,2019,26,17,9,2010s,ESP-FIN,Net flow to destination,Very Large
EGY,BHR,2021,7,5,2,2020s,EGY-BHR,Net flow to destination,Large
JPN,ROU,2005,8,5,3,2000s,JPN-ROU,Net flow to destination,Large
AUT,CZE,2017,19,15,4,2010s,AUT-CZE,Net flow to destination,Very Large
RUS,SWE,2014,15,18,-3,2010s,RUS-SWE,Net flow back to origin,Very Large
BOL,COL,2018,3,2,1,2010s,BOL-COL,Net flow to destination,Medium
