from_country_iso3,to_country_iso3,year,n_migrations,n_migrations_back,netmigrations,decade,corridor,flow_direction,flow_size_category
USA,DEU,2014,1270,1372,-102,2010s,USA-DEU,Net flow back to origin,Very Large
USA,SAU,2012,131,58,73,2010s,USA-SAU,Net flow to destination,Very Large
USA,CHN,2006,859,1109,-250,2000s,USA-CHN,Net flow back to origin,Very Large
USA,CAN,2020,1851,2045,-194,2020s,USA-CAN,Net flow back to origin,Very Large
JPN,USA,2003,1634,1356,278,2000s,JPN-USA,Net flow to destination,Very Large
GBR,CHE,2008,178,183,-5,2000s,GBR-CHE,Net flow back to origin,Very Large
USA,JPN,2004,1137,1415,-278,2000s,USA-JPN,Net flow back to origin,Very Large
FRA,NLD,2012,120,127,-7,2010s,FRA-NLD,Net flow back to origin,Very Large
PRT,GBR,2016,131,86,45,2010s,PRT-GBR,Net flow to destination,Very Large
ISR,USA,2013,410,346,64,2010s,ISR-USA,Net flow to destination,Very Large
GBR,AUS,1999,288,275,13,1990s,GBR-AUS,Net flow to destination,Very Large
BRA,MEX,2020,31,26,5,2020s,BRA-MEX,Net flow to destination,Very Large
ITA,CAN,2014,72,49,23,2010s,ITA-CAN,Net flow to destination,Very Large
CAN,CHN,2011,254,236,18,2010s,CAN-CHN,Net flow to destination,Very Large
ESP,USA,2012,544,447,97,2010s,ESP-USA,Net flow to destination,Very Large
MYS,AUS,2005,16,19,-3,2000s,MYS-AUS,Net flow back to origin,Very Large
DEU,BEL,2006,74,47,27,2000s,DEU-BEL,Net flow to destination,Very Large
ESP,ARG,2009,87,83,4,2000s,ESP-ARG,Net flow to destination,Very Large
GBR,CHN,2015,452,341,111,2010s,GBR-CHN,Net flow to destination,Very Large
USA,JPN,2008,1115,1201,-86,2000s,USA-JPN,Net flow back to origin,Very Large
AUT,CAN,2010,22,17,5,2010s,AUT-CAN,Net flow to destination,Very Large
USA,HKG,2013,150,146,4,2010s,USA-HKG,Net flow to destination,Very Large
USA,IRL,2009,129,137,-8,2000s,USA-IRL,Net flow back to origin,Very Large
AUS,CAN,2008,119,149,-30,2000s,AUS-CAN,Net flow back to origin,Very Large
JPN,DEU,2009,143,107,36,2000s,JPN-DEU,Net flow to destination,Very Large
GBR,AUT,2020,128,95,33,2020s,GBR-AUT,Net flow to destination,Very Large
TWN,CHN,2006,48,62,-14,2000s,TWN-CHN,Net flow back to origin,Very Large
MYS,SWE,2012,4,6,-2,2010s,MYS-SWE,Net flow back to origin,Large
BEL,GBR,2011,88,93,-5,2010s,BEL-GBR,Net flow back to origin,Very Large
NLD,IRL,2017,15,17,-2,2010s,NLD-IRL,Net flow back to origin,Very Large
IND,USA,2000,510,277,233,2000s,IND-USA,Net flow to destination,Very Large
SVK,DEU,2003,28,13,15,2000s,SVK-DEU,Net flow to destination,Very Large
DEU,GBR,2008,708,405,303,2000s,DEU-GBR,Net flow to destination,Very Large
FRA,USA,2003,861,778,83,2000s,FRA-USA,Net flow to destination,Very Large
DEU,ESP,2011,176,161,15,2010s,DEU-ESP,Net flow to destination,Very Large
SGP,NZL,2020,18,17,1,2020s,SGP-NZL,Net flow to destination,Very Large
AUS,HKG,2008,22,44,-22,2000s,AUS-HKG,Net flow back to origin,Very Large
CZE,NLD,2013,11,11,0,2010s,CZE-NLD,Balanced,Very Large
NLD,CZE,2015,13,9,4,2010s,NLD-CZE,Net flow to destination,Very Large
BEL,POL,2023,8,3,5,2020s,BEL-POL,Net flow to destination,Large
SGP,CHN,2014,282,209,73,2010s,SGP-CHN,Net flow to destination,Very Large
AUS,GBR,2010,447,618,-171,2010s,AUS-GBR,Net flow back to origin,Very Large
GBR,AUS,2020,665,583,82,2020s,GBR-AUS,Net flow to destination,Very Large
SWE,ESP,2006,23,21,2,2000s,SWE-ESP,Net flow to destination,Very Large
JPN,AUT,2003,18,7,11,2000s,JPN-AUT,Net flow to destination,Very Large
GBR,USA,2002,1877,1561,316,2000s,GBR-USA,Net flow to destination,Very Large
SGP,USA,2021,238,184,54,2020s,SGP-USA,Net flow to destination,Very Large
GBR,ESP,2015,299,541,-242,2010s,GBR-ESP,Net flow back to origin,Very Large
CAN,GBR,2009,322,382,-60,2000s,CAN-GBR,Net flow back to origin,Very Large
GBR,USA,2012,1839,1598,241,2010s,GBR-USA,Net flow to destination,Very Large
CAN,USA,2015,2039,1612,427,2010s,CAN-USA,Net flow to destination,Very Large
CHN,HKG,2010,382,745,-363,2010s,CHN-HKG,Net flow back to origin,Very Large
HUN,CAN,2011,5,9,-4,2010s,HUN-CAN,Net flow back to origin,Large
USA,GRC,2020,105,137,-32,2020s,USA-GRC,Net flow back to origin,Very Large
FRA,TUR,2008,17,9,8,2000s,FRA-TUR,Net flow to destination,Very Large
USA,DEU,2001,1335,1452,-117,2000s,USA-DEU,Net flow back to origin,Very Large
USA,CHN,2010,1753,2221,-468,2010s,USA-CHN,Net flow back to origin,Very Large
CHN,USA,2016,3391,3218,173,2010s,CHN-USA,Net flow to destination,Very Large
USA,POL,2013,102,92,10,2010s,USA-POL,Net flow to destination,Very Large
ESP,VEN,2008,24,27,-3,2000s,ESP-VEN,Net flow back to origin,Very Large
GBR,NZL,2004,128,80,48,2000s,GBR-NZL,Net flow to destination,Very Large
USA,NLD,2021,489,397,92,2020s,USA-NLD,Net flow to destination,Very Large
USA,FRA,2011,766,940,-174,2010s,USA-FRA,Net flow back to origin,Very Large
USA,KOR,2002,568,591,-23,2000s,USA-KOR,Net flow back to origin,Very Large
SGP,CHN,2008,131,143,-12,2000s,SGP-CHN,Net flow back to origin,Very Large
USA,FRA,2021,669,791,-122,2020s,USA-FRA,Net flow back to origin,Very Large
USA,ISR,2013,346,410,-64,2010s,USA-ISR,Net flow back to origin,Very Large
DEU,JPN,2003,99,134,-35,2000s,DEU-JPN,Net flow back to origin,Very Large
VEN,CAN,2001,14,3,11,2000s,VEN-CAN,Net flow to destination,Very Large
DEU,CAN,2007,216,119,97,2000s,DEU-CAN,Net flow to destination,Very Large
CAN,USA,2004,1437,1390,47,2000s,CAN-USA,Net flow to destination,Very Large
KEN,USA,2017,52,102,-50,2010s,KEN-USA,Net flow back to origin,Very Large
KEN,USA,2022,43,68,-25,2020s,KEN-USA,Net flow back to origin,Very Large
NLD,CHN,2013,77,71,6,2010s,NLD-CHN,Net flow to destination,Very Large
GBR,CHE,2001,138,139,-1,2000s,GBR-CHE,Net flow back to origin,Very Large
FIN,DEU,2022,51,59,-8,2020s,FIN-DEU,Net flow back to origin,Very Large
CHN,GBR,1998,59,67,-8,1990s,CHN-GBR,Net flow back to origin,Very Large
FRA,CAN,2009,298,225,73,2000s,FRA-CAN,Net flow to destination,Very Large
GRC,GBR,2009,136,152,-16,2000s,GRC-GBR,Net flow back to origin,Very Large
CHN,SWE,2005,40,30,10,2000s,CHN-SWE,Net flow to destination,Very Large
FRA,DEU,2010,368,322,46,2010s,FRA-DEU,Net flow to destination,Very Large
SWE,NOR,2005,61,23,38,2000s,SWE-NOR,Net flow to destination,Very Large
NOR,SWE,2006,31,56,-25,2000s,NOR-SWE,Net flow back to origin,Very Large
DEU,AUT,2006,263,171,92,2000s,DEU-AUT,Net flow to destination,Very Large
ISR,NLD,2009,16,14,2,2000s,ISR-NLD,Net flow to destination,Very Large
FRA,AUS,2018,89,84,5,2010s,FRA-AUS,Net flow to destination,Very Large
DEU,NLD,2008,228,202,26,2000s,DEU-NLD,Net flow to destination,Very Large
CHE,NLD,2014,63,92,-29,2010s,CHE-NLD,Net flow back to origin,Very Large
CHE,USA,2007,326,386,-60,2000s,CHE-USA,Net flow back to origin,Very Large
BGR,RUS,2010,3,4,-1,2010s,BGR-RUS,Net flow back to origin,Medium
USA,CHE,2007,386,326,60,2000s,USA-CHE,Net flow to destination,Very Large
AUT,RUS,2009,8,18,-10,2000s,AUT-RUS,Net flow back to origin,Large
FRA,ESP,2013,166,275,-109,2010s,FRA-ESP,Net flow back to origin,Very Large
TUR,CYP,2019,119,122,-3,2010s,TUR-CYP,Net flow back to origin,Very Large
GBR,AUS,2007,494,401,93,2000s,GBR-AUS,Net flow to destination,Very Large
CHN,USA,2017,3596,3484,112,2010s,CHN-USA,Net flow to destination,Very Large
USA,CAN,2007,1552,1449,103,2000s,USA-CAN,Net flow to destination,Very Large
NLD,GBR,2008,187,153,34,2000s,NLD-GBR,Net flow to destination,Very Large
URY,ESP,2012,11,13,-2,2010s,URY-ESP,Net flow back to origin,Very Large
USA,GBR,2017,1879,2069,-190,2010s,USA-GBR,Net flow back to origin,Very Large
FRA,ARM,2014,3,1,2,2010s,FRA-ARM,Net flow to destination,Medium
USA,PAK,2008,45,30,15,2000s,USA-PAK,Net flow to destination,Very Large
BRA,USA,2012,387,405,-18,2010s,BRA-USA,Net flow back to origin,Very Large
DEU,CHN,2006,152,113,39,2000s,DEU-CHN,Net flow to destination,Very Large
MEX,PRY,2012,2,1,1,2010s,MEX-PRY,Net flow to destination,Medium
USA,ESP,2013,432,548,-116,2010s,USA-ESP,Net flow back to origin,Very Large
BEL,JPN,2022,15,6,9,2020s,BEL-JPN,Net flow to destination,Very Large
CAN,JPN,2002,109,124,-15,2000s,CAN-JPN,Net flow back to origin,Very Large
USA,JPN,2015,961,983,-22,2010s,USA-JPN,Net flow back to origin,Very Large
GBR,USA,2005,1528,1371,157,2000s,GBR-USA,Net flow to destination,Very Large
ITA,CUB,2011,1,5,-4,2010s,ITA-CUB,Net flow back to origin,Small
IRN,CAN,2011,214,60,154,2010s,IRN-CAN,Net flow to destination,Very Large
KOR,BGD,2018,41,17,24,2010s,KOR-BGD,Net flow to destination,Very Large
USA,DEU,2004,1125,1229,-104,2000s,USA-DEU,Net flow back to origin,Very Large
USA,DEU,2015,1246,1341,-95,2010s,USA-DEU,Net flow back to origin,Very Large
JPN,DEU,2019,135,151,-16,2010s,JPN-DEU,Net flow back to origin,Very Large
MEX,ESP,2004,58,80,-22,2000s,MEX-ESP,Net flow back to origin,Very Large
MEX,ESP,2008,86,96,-10,2000s,MEX-ESP,Net flow back to origin,Very Large
FRA,TUN,2017,153,93,60,2010s,FRA-TUN,Net flow to destination,Very Large
FRA,CAN,2021,347,315,32,2020s,FRA-CAN,Net flow to destination,Very Large
ROU,FRA,2008,27,43,-16,2000s,ROU-FRA,Net flow back to origin,Very Large
FRA,ROU,2010,36,34,2,2010s,FRA-ROU,Net flow to destination,Very Large
ESP,PRT,2013,120,71,49,2010s,ESP-PRT,Net flow to destination,Very Large
NLD,USA,2006,250,246,4,2000s,NLD-USA,Net flow to destination,Very Large
USA,JPN,2014,957,997,-40,2010s,USA-JPN,Net flow back to origin,Very Large
FIN,USA,2009,72,83,-11,2000s,FIN-USA,Net flow back to origin,Very Large
AUS,GBR,2006,403,474,-71,2000s,AUS-GBR,Net flow back to origin,Very Large
BRA,AUS,2001,13,14,-1,2000s,BRA-AUS,Net flow back to origin,Very Large
CMR,FRA,2021,15,26,-11,2020s,CMR-FRA,Net flow back to origin,Very Large
DNK,IRL,2013,5,9,-4,2010s,DNK-IRL,Net flow back to origin,Large
CHN,TWN,2018,177,339,-162,2010s,CHN-TWN,Net flow back to origin,Very Large
SWE,USA,2012,239,233,6,2010s,SWE-USA,Net flow to destination,Very Large
AUS,CHN,2011,133,221,-88,2010s,AUS-CHN,Net flow back to origin,Very Large
POL,CHN,2015,3,6,-3,2010s,POL-CHN,Net flow back to origin,Medium
ESP,HUN,2015,6,5,1,2010s,ESP-HUN,Net flow to destination,Large
GBR,SGP,2010,95,47,48,2010s,GBR-SGP,Net flow to destination,Very Large
GBR,NZL,2008,136,115,21,2000s,GBR-NZL,Net flow to destination,Very Large
USA,CHE,2020,621,541,80,2020s,USA-CHE,Net flow to destination,Very Large
TUR,ITA,2004,1,6,-5,2000s,TUR-ITA,Net flow back to origin,Small
EGY,FRA,2016,11,21,-10,2010s,EGY-FRA,Net flow back to origin,Very Large
DEU,NLD,2014,251,362,-111,2010s,DEU-NLD,Net flow back to origin,Very Large
TWN,USA,2011,289,367,-78,2010s,TWN-USA,Net flow back to origin,Very Large
CAN,SAU,2016,119,69,50,2010s,CAN-SAU,Net flow to destination,Very Large
DEU,AUT,2010,332,279,53,2010s,DEU-AUT,Net flow to destination,Very Large
USA,CHN,2023,2356,1692,664,2020s,USA-CHN,Net flow to destination,Very Large
NLD,USA,2010,332,359,-27,2010s,NLD-USA,Net flow back to origin,Very Large
DEU,SWE,2014,157,132,25,2010s,DEU-SWE,Net flow to destination,Very Large
ESP,ITA,2013,162,183,-21,2010s,ESP-ITA,Net flow back to origin,Very Large
ISR,GBR,2018,69,51,18,2010s,ISR-GBR,Net flow to destination,Very Large
IND,KOR,2012,189,110,79,2010s,IND-KOR,Net flow to destination,Very Large
AUS,USA,2012,611,718,-107,2010s,AUS-USA,Net flow back to origin,Very Large
CIV,FRA,1998,16,14,2,1990s,CIV-FRA,Net flow to destination,Very Large
USA,NLD,2019,421,486,-65,2010s,USA-NLD,Net flow back to origin,Very Large
POL,FRA,2018,53,53,0,2010s,POL-FRA,Balanced,Very Large
DEU,HUN,2003,42,59,-17,2000s,DEU-HUN,Net flow back to origin,Very Large
ITA,USA,2004,476,442,34,2000s,ITA-USA,Net flow to destination,Very Large
IND,SGP,2008,43,25,18,2000s,IND-SGP,Net flow to destination,Very Large
TWN,SGP,2011,17,14,3,2010s,TWN-SGP,Net flow to destination,Very Large
USA,ECU,2012,22,18,4,2010s,USA-ECU,Net flow to destination,Very Large
POL,GRC,2007,5,1,4,2000s,POL-GRC,Net flow to destination,Large
GRC,POL,2010,4,4,0,2010s,GRC-POL,Balanced,Large
GBR,IRL,2005,208,169,39,2000s,GBR-IRL,Net flow to destination,Very Large
CHL,GBR,2006,12,10,2,2000s,CHL-GBR,Net flow to destination,Very Large
NZL,CHN,2016,26,32,-6,2010s,NZL-CHN,Net flow back to origin,Very Large
JPN,BGD,2008,40,44,-4,2000s,JPN-BGD,Net flow back to origin,Very Large
JPN,BGD,2014,78,54,24,2010s,JPN-BGD,Net flow to destination,Very Large
GBR,CYP,2012,37,14,23,2010s,GBR-CYP,Net flow to destination,Very Large
DEU,JPN,2013,135,145,-10,2010s,DEU-JPN,Net flow back to origin,Very Large
POL,GBR,2010,61,53,8,2010s,POL-GBR,Net flow to destination,Very Large
AUS,CAN,2015,175,209,-34,2010s,AUS-CAN,Net flow back to origin,Very Large
USA,FRA,2019,750,960,-210,2010s,USA-FRA,Net flow back to origin,Very Large
GBR,CAN,2003,350,253,97,2000s,GBR-CAN,Net flow to destination,Very Large
CHN,FRA,2003,53,48,5,2000s,CHN-FRA,Net flow to destination,Very Large
GRC,FIN,2013,6,2,4,2010s,GRC-FIN,Net flow to destination,Large
NZL,AUS,2003,116,102,14,2000s,NZL-AUS,Net flow to destination,Very Large
AUS,NZL,2007,89,154,-65,2000s,AUS-NZL,Net flow back to origin,Very Large
JPN,THA,2009,93,33,60,2000s,JPN-THA,Net flow to destination,Very Large
FIN,PRT,2020,5,5,0,2020s,FIN-PRT,Balanced,Large
ITA,BEL,2011,87,37,50,2010s,ITA-BEL,Net flow to destination,Very Large
DEU,GBR,2004,433,385,48,2000s,DEU-GBR,Net flow to destination,Very Large
TWN,IND,2011,44,51,-7,2010s,TWN-IND,Net flow back to origin,Very Large
USA,NZL,2013,121,131,-10,2010s,USA-NZL,Net flow back to origin,Very Large
AUS,CHL,2019,19,29,-10,2010s,AUS-CHL,Net flow back to origin,Very Large
ESP,CZE,2018,33,18,15,2010s,ESP-CZE,Net flow to destination,Very Large
TUR,USA,2011,226,303,-77,2010s,TUR-USA,Net flow back to origin,Very Large
DEU,DNK,2018,165,129,36,2010s,DEU-DNK,Net flow to destination,Very Large
USA,IND,2005,397,676,-279,2000s,USA-IND,Net flow back to origin,Very Large
IND,USA,2010,1007,676,331,2010s,IND-USA,Net flow to destination,Very Large
SWE,FRA,2008,52,51,1,2000s,SWE-FRA,Net flow to destination,Very Large
DEU,AUS,2011,173,150,23,2010s,DEU-AUS,Net flow to destination,Very Large
USA,RUS,2008,185,207,-22,2000s,USA-RUS,Net flow back to origin,Very Large
CIV,FRA,2007,19,33,-14,2000s,CIV-FRA,Net flow back to origin,Very Large
GBR,ROU,1997,6,6,0,1990s,GBR-ROU,Balanced,Large
USA,THA,2011,222,110,112,2010s,USA-THA,Net flow to destination,Very Large
ESP,FRA,2016,354,226,128,2010s,ESP-FRA,Net flow to destination,Very Large
GBR,ESP,2008,230,213,17,2000s,GBR-ESP,Net flow to destination,Very Large
CHE,FRA,2003,207,286,-79,2000s,CHE-FRA,Net flow back to origin,Very Large
FRA,DEU,2006,268,270,-2,2000s,FRA-DEU,Net flow back to origin,Very Large
USA,CAN,1998,878,1288,-410,1990s,USA-CAN,Net flow back to origin,Very Large
DEU,RUS,2003,153,239,-86,2000s,DEU-RUS,Net flow back to origin,Very Large
BEL,USA,2003,183,131,52,2000s,BEL-USA,Net flow to destination,Very Large
GBR,IRL,2012,203,277,-74,2010s,GBR-IRL,Net flow back to origin,Very Large
USA,CHN,2000,372,680,-308,2000s,USA-CHN,Net flow back to origin,Very Large
USA,JPN,2001,1219,1594,-375,2000s,USA-JPN,Net flow back to origin,Very Large
USA,BRA,2021,440,755,-315,2020s,USA-BRA,Net flow back to origin,Very Large
BRA,CAN,2009,64,48,16,2000s,BRA-CAN,Net flow to destination,Very Large
IRL,FRA,2006,19,32,-13,2000s,IRL-FRA,Net flow back to origin,Very Large
CAN,OMN,2003,4,2,2,2000s,CAN-OMN,Net flow to destination,Large
ZAF,FRA,2005,11,13,-2,2000s,ZAF-FRA,Net flow back to origin,Very Large
NAM,ZWE,2015,1,2,-1,2010s,NAM-ZWE,Net flow back to origin,Small
USA,GBR,2022,1384,1658,-274,2020s,USA-GBR,Net flow back to origin,Very Large
CAN,PRT,2009,6,5,1,2000s,CAN-PRT,Net flow to destination,Large
ISR,USA,2003,435,283,152,2000s,ISR-USA,Net flow to destination,Very Large
ITA,USA,2015,622,408,214,2010s,ITA-USA,Net flow to destination,Very Large
BRA,ITA,2023,49,24,25,2020s,BRA-ITA,Net flow to destination,Very Large
CAN,NLD,2010,69,63,6,2010s,CAN-NLD,Net flow to destination,Very Large
RUS,UKR,2011,51,38,13,2010s,RUS-UKR,Net flow to destination,Very Large
USA,NLD,2009,306,299,7,2000s,USA-NLD,Net flow to destination,Very Large
JPN,VNM,2011,47,9,38,2010s,JPN-VNM,Net flow to destination,Very Large
AUT,FRA,2003,23,27,-4,2000s,AUT-FRA,Net flow back to origin,Very Large
FRA,USA,2013,942,802,140,2010s,FRA-USA,Net flow to destination,Very Large
TUR,ITA,2008,8,2,6,2000s,TUR-ITA,Net flow to destination,Large
USA,GBR,2016,1887,1984,-97,2010s,USA-GBR,Net flow back to origin,Very Large
USA,TTO,2020,12,10,2,2020s,USA-TTO,Net flow to destination,Very Large
CHE,SWE,2011,56,63,-7,2010s,CHE-SWE,Net flow back to origin,Very Large
NLD,BEL,2010,132,119,13,2010s,NLD-BEL,Net flow to destination,Very Large
DEU,POL,2012,77,87,-10,2010s,DEU-POL,Net flow back to origin,Very Large
FRA,CHN,2006,46,67,-21,2000s,FRA-CHN,Net flow back to origin,Very Large
GBR,RUS,2018,64,48,16,2010s,GBR-RUS,Net flow to destination,Very Large
GBR,PRT,2003,53,27,26,2000s,GBR-PRT,Net flow to destination,Very Large
IRL,AUS,2013,55,28,27,2010s,IRL-AUS,Net flow to destination,Very Large
MYS,GBR,2003,18,61,-43,2000s,MYS-GBR,Net flow back to origin,Very Large
ESP,MAR,2018,20,8,12,2010s,ESP-MAR,Net flow to destination,Very Large
MAR,ESP,2020,10,17,-7,2020s,MAR-ESP,Net flow back to origin,Large
CAN,DNK,2014,28,19,9,2010s,CAN-DNK,Net flow to destination,Very Large
NLD,GBR,2015,369,250,119,2010s,NLD-GBR,Net flow to destination,Very Large
BRA,USA,2002,307,367,-60,2000s,BRA-USA,Net flow back to origin,Very Large
ITA,GBR,2011,394,255,139,2010s,ITA-GBR,Net flow to destination,Very Large
USA,KEN,2009,32,32,0,2000s,USA-KEN,Balanced,Very Large
USA,KEN,2011,34,37,-3,2010s,USA-KEN,Net flow back to origin,Very Large
JPN,GBR,2007,124,112,12,2000s,JPN-GBR,Net flow to destination,Very Large
GBR,FRA,1997,209,193,16,1990s,GBR-FRA,Net flow to destination,Very Large
GBR,IRL,2002,251,181,70,2000s,GBR-IRL,Net flow to destination,Very Large
CAN,FRA,2013,262,390,-128,2010s,CAN-FRA,Net flow back to origin,Very Large
CHN,USA,2018,3772,3825,-53,2010s,CHN-USA,Net flow back to origin,Very Large
CHE,DEU,2006,298,564,-266,2000s,CHE-DEU,Net flow back to origin,Very Large
GBR,ITA,2000,191,249,-58,2000s,GBR-ITA,Net flow back to origin,Very Large
GBR,NZL,2015,118,126,-8,2010s,GBR-NZL,Net flow back to origin,Very Large
USA,THA,2009,188,103,85,2000s,USA-THA,Net flow to destination,Very Large
FIN,GBR,2012,47,59,-12,2010s,FIN-GBR,Net flow back to origin,Very Large
FRA,ARE,2009,8,1,7,2000s,FRA-ARE,Net flow to destination,Large
DEU,FRA,2009,345,346,-1,2000s,DEU-FRA,Net flow back to origin,Very Large
SGP,FRA,2016,24,34,-10,2010s,SGP-FRA,Net flow back to origin,Very Large
GRC,LUX,2022,6,3,3,2020s,GRC-LUX,Net flow to destination,Large
SWE,NOR,2012,75,63,12,2010s,SWE-NOR,Net flow to destination,Very Large
SWE,CHE,2006,50,23,27,2000s,SWE-CHE,Net flow to destination,Very Large
FIN,USA,2021,91,80,11,2020s,FIN-USA,Net flow to destination,Very Large
SWE,DEU,2016,144,201,-57,2010s,SWE-DEU,Net flow back to origin,Very Large
NZL,USA,2003,128,148,-20,2000s,NZL-USA,Net flow back to origin,Very Large
USA,ITA,2006,423,465,-42,2000s,USA-ITA,Net flow back to origin,Very Large
GBR,PAK,2007,37,21,16,2000s,GBR-PAK,Net flow to destination,Very Large
AUS,LKA,2010,5,16,-11,2010s,AUS-LKA,Net flow back to origin,Large
BRA,USA,2005,309,319,-10,2000s,BRA-USA,Net flow back to origin,Very Large
USA,BRA,2011,458,378,80,2010s,USA-BRA,Net flow to destination,Very Large
DEU,NLD,2015,291,323,-32,2010s,DEU-NLD,Net flow back to origin,Very Large
DEU,GBR,2014,729,702,27,2010s,DEU-GBR,Net flow to destination,Very Large
JPN,NLD,2001,27,27,0,2000s,JPN-NLD,Balanced,Very Large
PRT,BRA,2010,90,102,-12,2010s,PRT-BRA,Net flow back to origin,Very Large
TWN,USA,2009,271,375,-104,2000s,TWN-USA,Net flow back to origin,Very Large
GBR,RUS,2017,46,55,-9,2010s,GBR-RUS,Net flow back to origin,Very Large
CHE,CHN,2004,17,11,6,2000s,CHE-CHN,Net flow to destination,Very Large
ZAF,GBR,2004,64,59,5,2000s,ZAF-GBR,Net flow to destination,Very Large
CZE,USA,2010,37,37,0,2010s,CZE-USA,Balanced,Very Large
FIN,AUT,2011,16,6,10,2010s,FIN-AUT,Net flow to destination,Very Large
CAN,USA,2001,1831,1349,482,2000s,CAN-USA,Net flow to destination,Very Large
BEL,TZA,2016,1,5,-4,2010s,BEL-TZA,Net flow back to origin,Small
POL,CHE,2010,22,9,13,2010s,POL-CHE,Net flow to destination,Very Large
IND,GBR,1999,73,63,10,1990s,IND-GBR,Net flow to destination,Very Large
KOR,IND,2016,145,205,-60,2010s,KOR-IND,Net flow back to origin,Very Large
HKG,CHN,2012,717,726,-9,2010s,HKG-CHN,Net flow back to origin,Very Large
SAU,CAN,2007,21,45,-24,2000s,SAU-CAN,Net flow back to origin,Very Large
LBN,USA,1997,7,16,-9,1990s,LBN-USA,Net flow back to origin,Large
GBR,BRA,2006,75,44,31,2000s,GBR-BRA,Net flow to destination,Very Large
AUT,GBR,2014,89,76,13,2010s,AUT-GBR,Net flow to destination,Very Large
GBR,BRA,2010,77,54,23,2010s,GBR-BRA,Net flow to destination,Very Large
CHL,USA,2004,62,62,0,2000s,CHL-USA,Balanced,Very Large
GBR,LKA,2012,9,17,-8,2010s,GBR-LKA,Net flow back to origin,Large
FIN,ESP,2013,15,18,-3,2010s,FIN-ESP,Net flow back to origin,Very Large
TUN,CHE,2016,3,1,2,2010s,TUN-CHE,Net flow to destination,Medium
POL,UKR,2006,16,21,-5,2000s,POL-UKR,Net flow back to origin,Very Large
PER,USA,2011,34,39,-5,2010s,PER-USA,Net flow back to origin,Very Large
CAN,DEU,2017,194,183,11,2010s,CAN-DEU,Net flow to destination,Very Large
IND,PAK,2010,16,19,-3,2010s,IND-PAK,Net flow back to origin,Very Large
IRL,USA,2010,135,146,-11,2010s,IRL-USA,Net flow back to origin,Very Large
BRA,USA,1997,139,187,-48,1990s,BRA-USA,Net flow back to origin,Very Large
BGR,NLD,2011,2,1,1,2010s,BGR-NLD,Net flow to destination,Medium
USA,DNK,2010,111,110,1,2010s,USA-DNK,Net flow to destination,Very Large
AUT,USA,2006,109,86,23,2000s,AUT-USA,Net flow to destination,Very Large
CHE,GBR,2003,135,174,-39,2000s,CHE-GBR,Net flow back to origin,Very Large
USA,RUS,2004,319,321,-2,2000s,USA-RUS,Net flow back to origin,Very Large
FRA,CIV,2014,20,32,-12,2010s,FRA-CIV,Net flow back to origin,Very Large
CAN,FRA,2003,177,230,-53,2000s,CAN-FRA,Net flow back to origin,Very Large
USA,RUS,2015,215,182,33,2010s,USA-RUS,Net flow to destination,Very Large
ITA,CHE,2011,176,115,61,2010s,ITA-CHE,Net flow to destination,Very Large
CHE,BRA,2012,16,19,-3,2010s,CHE-BRA,Net flow back to origin,Very Large
VNM,RUS,2020,11,28,-17,2020s,VNM-RUS,Net flow back to origin,Very Large
CHE,MEX,2000,5,4,1,2000s,CHE-MEX,Net flow to destination,Large
SAU,ZAF,2012,20,25,-5,2010s,SAU-ZAF,Net flow back to origin,Very Large
GBR,USA,1997,938,938,0,1990s,GBR-USA,Balanced,Very Large
USA,MEX,2002,262,235,27,2000s,USA-MEX,Net flow to destination,Very Large
USA,IND,2012,829,997,-168,2010s,USA-IND,Net flow back to origin,Very Large
BEL,CHN,2012,36,38,-2,2010s,BEL-CHN,Net flow back to origin,Very Large
SWE,CAN,2006,36,21,15,2000s,SWE-CAN,Net flow to destination,Very Large
GBR,DEU,2016,699,832,-133,2010s,GBR-DEU,Net flow back to origin,Very Large
GBR,CAN,2013,391,359,32,2010s,GBR-CAN,Net flow to destination,Very Large
GBR,NZL,2001,115,98,17,2000s,GBR-NZL,Net flow to destination,Very Large
GBR,CHE,2004,164,115,49,2000s,GBR-CHE,Net flow to destination,Very Large
GBR,CHE,2015,274,272,2,2010s,GBR-CHE,Net flow to destination,Very Large
POL,ESP,2009,19,8,11,2000s,POL-ESP,Net flow to destination,Very Large
FRA,CIV,2008,33,17,16,2000s,FRA-CIV,Net flow to destination,Very Large
CHN,BEL,2011,36,31,5,2010s,CHN-BEL,Net flow to destination,Very Large
DEU,CHN,2010,175,222,-47,2010s,DEU-CHN,Net flow back to origin,Very Large
CHE,DEU,2010,470,631,-161,2010s,CHE-DEU,Net flow back to origin,Very Large
FRA,ITA,2016,259,396,-137,2010s,FRA-ITA,Net flow back to origin,Very Large
IND,MEX,2011,3,3,0,2010s,IND-MEX,Balanced,Medium
POL,UKR,2023,27,45,-18,2020s,POL-UKR,Net flow back to origin,Very Large
USA,BRA,2019,445,718,-273,2010s,USA-BRA,Net flow back to origin,Very Large
PHL,USA,2022,39,38,1,2020s,PHL-USA,Net flow to destination,Very Large
ITA,GBR,2009,345,220,125,2000s,ITA-GBR,Net flow to destination,Very Large
AUS,CAN,2014,154,201,-47,2010s,AUS-CAN,Net flow back to origin,Very Large
CAN,GBR,2019,422,526,-104,2010s,CAN-GBR,Net flow back to origin,Very Large
